genome_name,isolate_genus,isolate_species,strain,msk_id,Module,Description,pathway_completeness
Alistipes_communis_DFI_6_39,Alistipes,communis,DFI_6_39,DFI.6.39,MF0022,galacturonate degradation I,0
Alistipes_communis_DFI_6_39,Alistipes,communis,DFI_6_39,DFI.6.39,MF0023,galacturonate degradation II,0
Alistipes_communis_DFI_6_39,Alistipes,communis,DFI_6_39,DFI.6.39,MF0024,phenylalanine degradation,0.3333333333333333
Alistipes_communis_DFI_6_39,Alistipes,communis,DFI_6_39,DFI.6.39,MF0025,tryptophan degradation,0
Alistipes_communis_DFI_6_39,Alistipes,communis,DFI_6_39,DFI.6.39,MF0026,tyrosine degradation I,0.5
Alistipes_communis_DFI_6_39,Alistipes,communis,DFI_6_39,DFI.6.39,MF0027,tyrosine degradation II,0
Alistipes_communis_DFI_6_39,Alistipes,communis,DFI_6_39,DFI.6.39,MF0028,aspartate degradation I,1
Alistipes_communis_DFI_6_39,Alistipes,communis,DFI_6_39,DFI.6.39,MF0029,aspartate degradation II,0
Alistipes_communis_DFI_6_39,Alistipes,communis,DFI_6_39,DFI.6.39,MF0030,glutamate degradation I,0
Alistipes_communis_DFI_6_39,Alistipes,communis,DFI_6_39,DFI.6.39,MF0031,glutamate degradation II,1
Alistipes_communis_DFI_6_39,Alistipes,communis,DFI_6_39,DFI.6.39,MF0032,glutamate degradation III,0
Alistipes_communis_DFI_6_39,Alistipes,communis,DFI_6_39,DFI.6.39,MF0033,alanine degradation I,0
Alistipes_communis_DFI_6_39,Alistipes,communis,DFI_6_39,DFI.6.39,MF0034,alanine degradation II,1
Alistipes_communis_DFI_6_39,Alistipes,communis,DFI_6_39,DFI.6.39,MF0035,glycine degradation,1
Alistipes_communis_DFI_6_39,Alistipes,communis,DFI_6_39,DFI.6.39,MF0036,isoleucine degradation,0.3333333333333333
Alistipes_communis_DFI_6_39,Alistipes,communis,DFI_6_39,DFI.6.39,MF0037,leucine degradation,0.3333333333333333
Alistipes_communis_DFI_6_39,Alistipes,communis,DFI_6_39,DFI.6.39,MF0038,methionine degradation I,0.6666666666666666
Alistipes_communis_DFI_6_39,Alistipes,communis,DFI_6_39,DFI.6.39,MF0039,methionine degradation II,0
Alistipes_communis_DFI_6_39,Alistipes,communis,DFI_6_39,DFI.6.39,MF0040,proline degradation,0
Alistipes_communis_DFI_6_39,Alistipes,communis,DFI_6_39,DFI.6.39,MF0041,valine degradation I,0.2857142857142857
Alistipes_communis_DFI_6_39,Alistipes,communis,DFI_6_39,DFI.6.39,MF0042,asparagine degradation,0
Alistipes_communis_DFI_6_39,Alistipes,communis,DFI_6_39,DFI.6.39,MF0043,cysteine biosynthesis/homocysteine degradation,0
Alistipes_communis_DFI_6_39,Alistipes,communis,DFI_6_39,DFI.6.39,MF0044,cysteine degradation I,1
Alistipes_communis_DFI_6_39,Alistipes,communis,DFI_6_39,DFI.6.39,MF0045,cysteine degradation II,0.5
Alistipes_communis_DFI_6_39,Alistipes,communis,DFI_6_39,DFI.6.39,MF0046,glutamine degradation I,1
Alistipes_communis_DFI_6_39,Alistipes,communis,DFI_6_39,DFI.6.39,MF0047,glutamine degradation II,1
Alistipes_communis_DFI_6_39,Alistipes,communis,DFI_6_39,DFI.6.39,MF0048,serine degradation,1
Alistipes_communis_DFI_6_39,Alistipes,communis,DFI_6_39,DFI.6.39,MF0049,threonine degradation I,0
Alistipes_communis_DFI_6_39,Alistipes,communis,DFI_6_39,DFI.6.39,MF0050,threonine degradation II,1
Alistipes_communis_DFI_6_39,Alistipes,communis,DFI_6_39,DFI.6.39,MF0051,arginine degradation I,1
Alistipes_communis_DFI_6_39,Alistipes,communis,DFI_6_39,DFI.6.39,MF0052,arginine degradation II,0
Alistipes_communis_DFI_6_39,Alistipes,communis,DFI_6_39,DFI.6.39,MF0053,arginine degradation III,0
Alistipes_communis_DFI_6_39,Alistipes,communis,DFI_6_39,DFI.6.39,MF0054,arginine degradation IV,0.5
Alistipes_communis_DFI_6_39,Alistipes,communis,DFI_6_39,DFI.6.39,MF0055,arginine degradation V,0
Alistipes_communis_DFI_6_39,Alistipes,communis,DFI_6_39,DFI.6.39,MF0056,histidine degradation,0
Alistipes_communis_DFI_6_39,Alistipes,communis,DFI_6_39,DFI.6.39,MF0057,lysine degradation I,0
Alistipes_communis_DFI_6_39,Alistipes,communis,DFI_6_39,DFI.6.39,MF0058,lysine degradation II,0
Alistipes_communis_DFI_6_39,Alistipes,communis,DFI_6_39,DFI.6.39,MF0059,anaerobic fatty acid beta-oxidation,0.25
Alistipes_communis_DFI_6_39,Alistipes,communis,DFI_6_39,DFI.6.39,MF0060,glycerol degradation I,0.3333333333333333
Alistipes_communis_DFI_6_39,Alistipes,communis,DFI_6_39,DFI.6.39,MF0061,glycerol degradation II,1
Alistipes_communis_DFI_6_39,Alistipes,communis,DFI_6_39,DFI.6.39,MF0062,glycerol degradation III,0
Alistipes_communis_DFI_6_39,Alistipes,communis,DFI_6_39,DFI.6.39,MF0063,glyoxylate bypass,0.2
Alistipes_communis_DFI_6_39,Alistipes,communis,DFI_6_39,DFI.6.39,MF0064,triacylglycerol degradation,0
Alistipes_communis_DFI_6_39,Alistipes,communis,DFI_6_39,DFI.6.39,MF0065,Bifidobacterium shunt,0.5
Alistipes_communis_DFI_6_39,Alistipes,communis,DFI_6_39,DFI.6.39,MF0066,Entner-Doudoroff pathway,0
Alistipes_communis_DFI_6_39,Alistipes,communis,DFI_6_39,DFI.6.39,MF0067,glycolysis (preparatory phase),0.8
Alistipes_communis_DFI_6_39,Alistipes,communis,DFI_6_39,DFI.6.39,MF0068,glycolysis (pay-off phase),1
Alistipes_communis_DFI_6_39,Alistipes,communis,DFI_6_39,DFI.6.39,MF0069,NADH:ferredoxin oxidoreductase,0
Alistipes_communis_DFI_6_39,Alistipes,communis,DFI_6_39,DFI.6.39,MF0070,pentose phosphate pathway (oxidative phase),0
Alistipes_communis_DFI_6_39,Alistipes,communis,DFI_6_39,DFI.6.39,MF0071,pentose phosphate pathway (non-oxidative branch),0.75
Alistipes_communis_DFI_6_39,Alistipes,communis,DFI_6_39,DFI.6.39,MF0072,pyruvate dehydrogenase complex,0.3333333333333333
Alistipes_communis_DFI_6_39,Alistipes,communis,DFI_6_39,DFI.6.39,MF0073,pyruvate:ferredoxin oxidoreductase,1
Alistipes_communis_DFI_6_39,Alistipes,communis,DFI_6_39,DFI.6.39,MF0074,pyruvate:formate lyase,0
Alistipes_communis_DFI_6_39,Alistipes,communis,DFI_6_39,DFI.6.39,MF0075,acetate to acetyl-CoA,0
Alistipes_communis_DFI_6_39,Alistipes,communis,DFI_6_39,DFI.6.39,MF0076,4-aminobutyrate degradation,0.5
Alistipes_communis_DFI_6_39,Alistipes,communis,DFI_6_39,DFI.6.39,MF0077,formate conversion,0
Alistipes_communis_DFI_6_39,Alistipes,communis,DFI_6_39,DFI.6.39,MF0078,lactaldehyde degradation,1
Alistipes_communis_DFI_6_39,Alistipes,communis,DFI_6_39,DFI.6.39,MF0079,lactate consumption I,0
Alistipes_communis_DFI_6_39,Alistipes,communis,DFI_6_39,DFI.6.39,MF0080,lactate consumption II,0
Alistipes_communis_DFI_6_39,Alistipes,communis,DFI_6_39,DFI.6.39,MF0081,methanol conversion,0
Alistipes_communis_DFI_6_39,Alistipes,communis,DFI_6_39,DFI.6.39,MF0082,putrescine degradation,0
Alistipes_communis_DFI_6_39,Alistipes,communis,DFI_6_39,DFI.6.39,MF0083,succinate consumption,0
Alistipes_communis_DFI_6_39,Alistipes,communis,DFI_6_39,DFI.6.39,MF0084,succinate conversion to propionate,0
Alistipes_communis_DFI_6_39,Alistipes,communis,DFI_6_39,DFI.6.39,MF0085,urea degradation,0
Alistipes_communis_DFI_6_39,Alistipes,communis,DFI_6_39,DFI.6.39,MF0086,acetyl-CoA to acetate,1
Alistipes_communis_DFI_6_39,Alistipes,communis,DFI_6_39,DFI.6.39,MF0087,acetyl-CoA to crotonyl-CoA,0
Alistipes_communis_DFI_6_39,Alistipes,communis,DFI_6_39,DFI.6.39,MF0088,butyrate production I,0.3333333333333333
Alistipes_communis_DFI_6_39,Alistipes,communis,DFI_6_39,DFI.6.39,MF0089,butyrate production II,0
Alistipes_communis_DFI_6_39,Alistipes,communis,DFI_6_39,DFI.6.39,MF0090,ethanol production I,0
Alistipes_communis_DFI_6_39,Alistipes,communis,DFI_6_39,DFI.6.39,MF0091,ethanol production II,0
Alistipes_communis_DFI_6_39,Alistipes,communis,DFI_6_39,DFI.6.39,MF0092,lactate production,1
Alistipes_communis_DFI_6_39,Alistipes,communis,DFI_6_39,DFI.6.39,MF0093,propionate production I,0
Alistipes_communis_DFI_6_39,Alistipes,communis,DFI_6_39,DFI.6.39,MF0094,propionate production II,0
Alistipes_communis_DFI_6_39,Alistipes,communis,DFI_6_39,DFI.6.39,MF0095,propionate production III,0.6666666666666666
Alistipes_communis_DFI_6_39,Alistipes,communis,DFI_6_39,DFI.6.39,MF0096,succinate production,0.75
Alistipes_communis_DFI_6_39,Alistipes,communis,DFI_6_39,DFI.6.39,MF0097,homoacetogenesis,0.2857142857142857
Alistipes_communis_DFI_6_39,Alistipes,communis,DFI_6_39,DFI.6.39,MF0098,hydrogen metabolism,0
Alistipes_communis_DFI_6_39,Alistipes,communis,DFI_6_39,DFI.6.39,MF0099,methanogenesis - methyl-coM,0
Alistipes_communis_DFI_6_39,Alistipes,communis,DFI_6_39,DFI.6.39,MF0100,methanogenesis from carbon dioxide,0
Alistipes_communis_DFI_6_39,Alistipes,communis,DFI_6_39,DFI.6.39,MF0101,nitrate reduction (dissimilatory),0
Alistipes_communis_DFI_6_39,Alistipes,communis,DFI_6_39,DFI.6.39,MF0102,sulfate reduction (dissimilatory),0
Alistipes_communis_DFI_6_39,Alistipes,communis,DFI_6_39,DFI.6.39,MF0103,mucin degradation,0.3333333333333333
Alistipes_communis_DFI_6_39,Alistipes,communis,DFI_6_39,DFI.6.39,MF0104,acetyl-CoA to crotonyl-CoA I,0
Alistipes_communis_DFI_6_39,Alistipes,communis,DFI_6_39,DFI.6.39,MF0105,acetyl-CoA to crotonyl-CoA II,0
Alistipes_communis_DFI_6_39,Alistipes,communis,DFI_6_39,DFI.6.39,MF0106,acetyl-CoA to crotonyl-CoA III,0
Alistipes_communis_DFI_6_39,Alistipes,communis,DFI_6_39,DFI.6.39,MF0107,acetyl-CoA to crotonyl-CoA IV,0
Alistipes_communis_DFI_6_39,Alistipes,communis,DFI_6_39,DFI.6.39,MF0108,acetyl-CoA to crotonyl-CoA V,0
Alistipes_communis_DFI_6_39,Alistipes,communis,DFI_6_39,DFI.6.39,MF0109,acetyl-CoA to crotonyl-CoA VI,0
Alistipes_communis_DFI_6_39,Alistipes,communis,DFI_6_39,DFI.6.39,MF0110,acetyl-CoA to crotonyl-CoA VII,0
Alistipes_communis_DFI_6_39,Alistipes,communis,DFI_6_39,DFI.6.39,MF0111,acetyl-CoA to crotonyl-CoA VIII,0
Alistipes_communis_DFI_6_39,Alistipes,communis,DFI_6_39,DFI.6.39,MF0112,acetyl-CoA to crotonyl-CoA IX,0
Alistipes_communis_DFI_6_39,Alistipes,communis,DFI_6_39,DFI.6.39,MF0113,acetyl-CoA to crotonyl-CoA X,0
Alistipes_communis_DFI_6_39,Alistipes,communis,DFI_6_39,DFI.6.39,MF0114,acetyl-CoA to crotonyl-CoA XI,0
Alistipes_communis_DFI_6_39,Alistipes,communis,DFI_6_39,DFI.6.39,MF0115,acetyl-CoA to crotonyl-CoA XII,0
Alistipes_communis_DFI_6_39,Alistipes,communis,DFI_6_39,DFI.6.39,MF0116,glutaryl-CoA to crotonyl-CoA I,0
Alistipes_communis_DFI_6_39,Alistipes,communis,DFI_6_39,DFI.6.39,MF0117,glutaryl-CoA to crotonyl-CoA II,0.5
Alistipes_communis_DFI_6_39,Alistipes,communis,DFI_6_39,DFI.6.39,MF0118,succinate semialdehyde to crotonyl-CoA I,0
Alistipes_communis_DFI_6_39,Alistipes,communis,DFI_6_39,DFI.6.39,MF0119,succinate semialdehyde to crotonyl-CoA II,0
Alistipes_communis_DFI_6_39,Alistipes,communis,DFI_6_39,DFI.6.39,MF0120,2-oxoglutarate to crotonyl-CoA,0.3333333333333333
Alistipes_communis_DFI_6_39,Alistipes,communis,DFI_6_39,DFI.6.39,MF0121,3-butenoyl-CoA to crotonyl-CoA,0
Alistipes_communis_DFI_6_39,Alistipes,communis,DFI_6_39,DFI.6.39,MF0122,lysine to crotonyl-CoA,0
Alistipes_communis_DFI_6_39,Alistipes,communis,DFI_6_39,DFI.6.39,MF0123,crotonyl-CoA to butyrate I,0.3333333333333333
Alistipes_communis_DFI_6_39,Alistipes,communis,DFI_6_39,DFI.6.39,MF0124,crotonyl-CoA to butyrate II,0.3333333333333333
Alistipes_communis_DFI_6_39,Alistipes,communis,DFI_6_39,DFI.6.39,MF0125,crotonyl-CoA to butyrate III,0.3333333333333333
Alistipes_communis_DFI_6_39,Alistipes,communis,DFI_6_39,DFI.6.39,MF0126,crotonyl-CoA to butyrate IV,0.3333333333333333
Alistipes_communis_DFI_6_39,Alistipes,communis,DFI_6_39,DFI.6.39,MF0127,crotonyl-CoA to butyrate V,0.3333333333333333
Alistipes_communis_DFI_6_39,Alistipes,communis,DFI_6_39,DFI.6.39,MF0128,crotonyl-CoA to butyrate VI,0.3333333333333333
Alistipes_communis_DFI_6_39,Alistipes,communis,DFI_6_39,DFI.6.39,MF0129,crotonyl-CoA to butyrate VII,0.3333333333333333
Alistipes_communis_DFI_6_39,Alistipes,communis,DFI_6_39,DFI.6.39,MF0130,crotonyl-CoA to butyrate VIII,0
Alistipes_communis_DFI_6_39,Alistipes,communis,DFI_6_39,DFI.6.39,MF0131,crotonyl-CoA to butyrate IX,0
Alistipes_communis_DFI_6_39,Alistipes,communis,DFI_6_39,DFI.6.39,MF0132,crotonyl-CoA to butyrate X,0
Alistipes_communis_DFI_6_39,Alistipes,communis,DFI_6_39,DFI.6.39,MF0133,crotonyl-CoA to butyrate XI,0
Alistipes_communis_DFI_6_39,Alistipes,communis,DFI_6_39,DFI.6.39,MF0134,crotonyl-CoA to butyrate XII,0
Alistipes_communis_DFI_6_39,Alistipes,communis,DFI_6_39,DFI.6.39,MF0135,crotonyl-CoA to butyrate XIII,0
Alistipes_communis_DFI_6_39,Alistipes,communis,DFI_6_39,DFI.6.39,MF0136,crotonyl-CoA to butyrate XIV,0
Alistipes_communis_DFI_6_39,Alistipes,communis,DFI_6_39,DFI.6.39,MF0137,crotonyl-CoA to butyrate XV,0
Alistipes_communis_DFI_6_39,Alistipes,communis,DFI_6_39,DFI.6.39,MF0138,crotonyl-CoA to butyrate XVI,0
Alistipes_communis_DFI_6_39,Alistipes,communis,DFI_6_39,DFI.6.39,MF0139,crotonyl-CoA to butyrate XVII,0
Alistipes_communis_DFI_6_39,Alistipes,communis,DFI_6_39,DFI.6.39,MF0140,crotonyl-CoA to butyrate XVIII,0
Alistipes_communis_DFI_6_39,Alistipes,communis,DFI_6_39,DFI.6.39,MF0141,crotonyl-CoA to butyrate XIX,0
Alistipes_communis_DFI_6_39,Alistipes,communis,DFI_6_39,DFI.6.39,MF0142,crotonyl-CoA to butyrate XX,0
Alistipes_communis_DFI_6_39,Alistipes,communis,DFI_6_39,DFI.6.39,MF0143,crotonyl-CoA to butyrate XXI,0
Alistipes_communis_DFI_6_39,Alistipes,communis,DFI_6_39,DFI.6.39,MF0144,crotonyl-CoA to butyrate XXII,0
Alistipes_communis_DFI_6_39,Alistipes,communis,DFI_6_39,DFI.6.39,MF0145,crotonyl-CoA to butyrate XXIII,0
Alistipes_communis_DFI_6_39,Alistipes,communis,DFI_6_39,DFI.6.39,MF0146,crotonyl-CoA to butyrate XXIV,0
Alistipes_communis_DFI_6_39,Alistipes,communis,DFI_6_39,DFI.6.39,MF0147,crotonyl-CoA to butyrate XXV,0
Alistipes_communis_DFI_6_39,Alistipes,communis,DFI_6_39,DFI.6.39,MF0148,crotonyl-CoA to butyrate XXVI,0
Alistipes_communis_DFI_6_39,Alistipes,communis,DFI_6_39,DFI.6.39,MF0149,crotonyl-CoA to butyrate XXVII,0
Alistipes_communis_DFI_6_39,Alistipes,communis,DFI_6_39,DFI.6.39,MF0150,crotonyl-CoA to butyrate XXVIII,0
Alistipes_communis_DFI_6_39,Alistipes,communis,DFI_6_39,DFI.6.39,MF0151,1-butanol to butyrate I,0
Alistipes_communis_DFI_6_39,Alistipes,communis,DFI_6_39,DFI.6.39,MF0152,1-butanol to butyrate II,0
Alistipes_communis_DFI_6_39,Alistipes,communis,DFI_6_39,DFI.6.39,MF0153,1-butanol to butyrate III,0.25
Alistipes_finegoldii_DFI_1_269,Alistipes,finegoldii,DFI_1_269,DFI.1.269,MF0001,arabinoxylan degradation,0
Alistipes_finegoldii_DFI_1_269,Alistipes,finegoldii,DFI_1_269,DFI.1.269,MF0002,fructan degradation,0
Alistipes_finegoldii_DFI_1_269,Alistipes,finegoldii,DFI_1_269,DFI.1.269,MF0003,pectin degradation I,0
Alistipes_finegoldii_DFI_1_269,Alistipes,finegoldii,DFI_1_269,DFI.1.269,MF0004,pectine degradation II,0
Alistipes_finegoldii_DFI_1_269,Alistipes,finegoldii,DFI_1_269,DFI.1.269,MF0005,starch degradation,1
Alistipes_finegoldii_DFI_1_269,Alistipes,finegoldii,DFI_1_269,DFI.1.269,MF0006,lactose degradation,1
Alistipes_finegoldii_DFI_1_269,Alistipes,finegoldii,DFI_1_269,DFI.1.269,MF0007,lactose and galactose degradation,0
Alistipes_finegoldii_DFI_1_269,Alistipes,finegoldii,DFI_1_269,DFI.1.269,MF0008,maltose degradation,0
Alistipes_finegoldii_DFI_1_269,Alistipes,finegoldii,DFI_1_269,DFI.1.269,MF0009,melibiose degradation,1
Alistipes_finegoldii_DFI_1_269,Alistipes,finegoldii,DFI_1_269,DFI.1.269,MF0010,sucrose degradation I,0.5
Alistipes_finegoldii_DFI_1_269,Alistipes,finegoldii,DFI_1_269,DFI.1.269,MF0011,sucrose degradation II,0.5
Alistipes_finegoldii_DFI_1_269,Alistipes,finegoldii,DFI_1_269,DFI.1.269,MF0012,trehalose degradation,1
Alistipes_finegoldii_DFI_1_269,Alistipes,finegoldii,DFI_1_269,DFI.1.269,MF0013,allose degradation,0.5
Alistipes_finegoldii_DFI_1_269,Alistipes,finegoldii,DFI_1_269,DFI.1.269,MF0014,arabinose degradation,0.5
Alistipes_finegoldii_DFI_1_269,Alistipes,finegoldii,DFI_1_269,DFI.1.269,MF0015,fructose degradation,0
Alistipes_finegoldii_DFI_1_269,Alistipes,finegoldii,DFI_1_269,DFI.1.269,MF0016,fucose degradation,0.4
Alistipes_finegoldii_DFI_1_269,Alistipes,finegoldii,DFI_1_269,DFI.1.269,MF0017,galactose degradation,0.6
Alistipes_finegoldii_DFI_1_269,Alistipes,finegoldii,DFI_1_269,DFI.1.269,MF0018,mannose degradation,1
Alistipes_finegoldii_DFI_1_269,Alistipes,finegoldii,DFI_1_269,DFI.1.269,MF0019,rhamnose degradation,0.2
Alistipes_finegoldii_DFI_1_269,Alistipes,finegoldii,DFI_1_269,DFI.1.269,MF0020,ribose degradation,0.5
Alistipes_finegoldii_DFI_1_269,Alistipes,finegoldii,DFI_1_269,DFI.1.269,MF0021,xylose degradation,1
Alistipes_finegoldii_DFI_1_269,Alistipes,finegoldii,DFI_1_269,DFI.1.269,MF0022,galacturonate degradation I,0
Alistipes_finegoldii_DFI_1_269,Alistipes,finegoldii,DFI_1_269,DFI.1.269,MF0023,galacturonate degradation II,0
Alistipes_finegoldii_DFI_1_269,Alistipes,finegoldii,DFI_1_269,DFI.1.269,MF0024,phenylalanine degradation,0.3333333333333333
Alistipes_finegoldii_DFI_1_269,Alistipes,finegoldii,DFI_1_269,DFI.1.269,MF0025,tryptophan degradation,1
Alistipes_finegoldii_DFI_1_269,Alistipes,finegoldii,DFI_1_269,DFI.1.269,MF0026,tyrosine degradation I,0.5
Alistipes_finegoldii_DFI_1_269,Alistipes,finegoldii,DFI_1_269,DFI.1.269,MF0027,tyrosine degradation II,0
Alistipes_finegoldii_DFI_1_269,Alistipes,finegoldii,DFI_1_269,DFI.1.269,MF0028,aspartate degradation I,1
Alistipes_finegoldii_DFI_1_269,Alistipes,finegoldii,DFI_1_269,DFI.1.269,MF0029,aspartate degradation II,1
Alistipes_finegoldii_DFI_1_269,Alistipes,finegoldii,DFI_1_269,DFI.1.269,MF0030,glutamate degradation I,0
Alistipes_finegoldii_DFI_1_269,Alistipes,finegoldii,DFI_1_269,DFI.1.269,MF0031,glutamate degradation II,1
Alistipes_finegoldii_DFI_1_269,Alistipes,finegoldii,DFI_1_269,DFI.1.269,MF0032,glutamate degradation III,0
Alistipes_finegoldii_DFI_1_269,Alistipes,finegoldii,DFI_1_269,DFI.1.269,MF0033,alanine degradation I,0
Alistipes_finegoldii_DFI_1_269,Alistipes,finegoldii,DFI_1_269,DFI.1.269,MF0034,alanine degradation II,1
Alistipes_finegoldii_DFI_1_269,Alistipes,finegoldii,DFI_1_269,DFI.1.269,MF0035,glycine degradation,1
Alistipes_finegoldii_DFI_1_269,Alistipes,finegoldii,DFI_1_269,DFI.1.269,MF0036,isoleucine degradation,0.3333333333333333
Alistipes_finegoldii_DFI_1_269,Alistipes,finegoldii,DFI_1_269,DFI.1.269,MF0037,leucine degradation,0.3333333333333333
Alistipes_finegoldii_DFI_1_269,Alistipes,finegoldii,DFI_1_269,DFI.1.269,MF0038,methionine degradation I,1
Alistipes_finegoldii_DFI_1_269,Alistipes,finegoldii,DFI_1_269,DFI.1.269,MF0039,methionine degradation II,0
Alistipes_finegoldii_DFI_1_269,Alistipes,finegoldii,DFI_1_269,DFI.1.269,MF0040,proline degradation,0
Alistipes_finegoldii_DFI_1_269,Alistipes,finegoldii,DFI_1_269,DFI.1.269,MF0041,valine degradation I,0.2857142857142857
Alistipes_finegoldii_DFI_1_269,Alistipes,finegoldii,DFI_1_269,DFI.1.269,MF0042,asparagine degradation,0
Alistipes_finegoldii_DFI_1_269,Alistipes,finegoldii,DFI_1_269,DFI.1.269,MF0043,cysteine biosynthesis/homocysteine degradation,0
Alistipes_finegoldii_DFI_1_269,Alistipes,finegoldii,DFI_1_269,DFI.1.269,MF0044,cysteine degradation I,1
Alistipes_finegoldii_DFI_1_269,Alistipes,finegoldii,DFI_1_269,DFI.1.269,MF0045,cysteine degradation II,0.5
Alistipes_finegoldii_DFI_1_269,Alistipes,finegoldii,DFI_1_269,DFI.1.269,MF0046,glutamine degradation I,1
Alistipes_finegoldii_DFI_1_269,Alistipes,finegoldii,DFI_1_269,DFI.1.269,MF0047,glutamine degradation II,1
Alistipes_finegoldii_DFI_1_269,Alistipes,finegoldii,DFI_1_269,DFI.1.269,MF0048,serine degradation,1
Alistipes_finegoldii_DFI_1_269,Alistipes,finegoldii,DFI_1_269,DFI.1.269,MF0049,threonine degradation I,0.5
Alistipes_finegoldii_DFI_1_269,Alistipes,finegoldii,DFI_1_269,DFI.1.269,MF0050,threonine degradation II,1
Alistipes_finegoldii_DFI_1_269,Alistipes,finegoldii,DFI_1_269,DFI.1.269,MF0051,arginine degradation I,1
Alistipes_finegoldii_DFI_1_269,Alistipes,finegoldii,DFI_1_269,DFI.1.269,MF0052,arginine degradation II,0
Alistipes_finegoldii_DFI_1_269,Alistipes,finegoldii,DFI_1_269,DFI.1.269,MF0053,arginine degradation III,0
Alistipes_finegoldii_DFI_1_269,Alistipes,finegoldii,DFI_1_269,DFI.1.269,MF0054,arginine degradation IV,0.5
Alistipes_finegoldii_DFI_1_269,Alistipes,finegoldii,DFI_1_269,DFI.1.269,MF0055,arginine degradation V,0
Alistipes_finegoldii_DFI_1_269,Alistipes,finegoldii,DFI_1_269,DFI.1.269,MF0056,histidine degradation,0.75
Alistipes_finegoldii_DFI_1_269,Alistipes,finegoldii,DFI_1_269,DFI.1.269,MF0057,lysine degradation I,0.16666666666666666
Alistipes_finegoldii_DFI_1_269,Alistipes,finegoldii,DFI_1_269,DFI.1.269,MF0058,lysine degradation II,0
Alistipes_finegoldii_DFI_1_269,Alistipes,finegoldii,DFI_1_269,DFI.1.269,MF0059,anaerobic fatty acid beta-oxidation,0.25
Alistipes_finegoldii_DFI_1_269,Alistipes,finegoldii,DFI_1_269,DFI.1.269,MF0060,glycerol degradation I,0.3333333333333333
Alistipes_finegoldii_DFI_1_269,Alistipes,finegoldii,DFI_1_269,DFI.1.269,MF0061,glycerol degradation II,0.6666666666666666
Alistipes_finegoldii_DFI_1_269,Alistipes,finegoldii,DFI_1_269,DFI.1.269,MF0062,glycerol degradation III,0
Alistipes_finegoldii_DFI_1_269,Alistipes,finegoldii,DFI_1_269,DFI.1.269,MF0063,glyoxylate bypass,0.2
Alistipes_finegoldii_DFI_1_269,Alistipes,finegoldii,DFI_1_269,DFI.1.269,MF0064,triacylglycerol degradation,0
Alistipes_finegoldii_DFI_1_269,Alistipes,finegoldii,DFI_1_269,DFI.1.269,MF0065,Bifidobacterium shunt,0.6666666666666666
Alistipes_finegoldii_DFI_1_269,Alistipes,finegoldii,DFI_1_269,DFI.1.269,MF0066,Entner-Doudoroff pathway,0
