msk_id,species,type,CBM,CE,GH,GT,PL,AA
MSK.20.12,Bacteroides xylanisolvens,Biobank,2,10,86,16,17,0
Butyricimonas_paravirosa,Butyricimonas paravirosa,Type Strain,1,1,16,13,2,0
DFI.9.33,Butyricimonas paravirosa,Biobank,1,2,19,13,2,0
Butyricimonas_synergistica,Butyricimonas synergistica,Type Strain,1,1,15,15,1,0
DFI.6.9,Butyricimonas synergistica,Biobank,1,1,14,14,2,0
DFI.7.71,Hoylesella buccalis,Biobank,0,4,43,12,1,1
Prevotella_buccalis,Hoylesella buccalis,Type Strain,0,3,41,13,1,0
MSK.21.23,Leyella stercorea,Biobank,1,5,32,12,0,0
Prevotella_stercorea,Leyella stercorea,Type Strain,1,5,33,16,0,0
DFI.1.156,Odoribacter splanchnicus,Biobank,2,3,26,12,1,0
DFI.3.53,Odoribacter splanchnicus,Biobank,2,3,27,12,1,0
DFI.9.51,Odoribacter splanchnicus,Biobank,2,3,27,11,1,0
Odoribacter_splanchnicus,Odoribacter splanchnicus,Type Strain,2,3,27,11,1,0
DFI.1.37,Parabacteroides distasonis,Biobank,3,5,57,17,1,0
DFI.2.1,Parabacteroides distasonis,Biobank,4,5,57,19,1,0
DFI.3.8,Parabacteroides distasonis,Biobank,3,5,58,17,1,0
DFI.4.160,Parabacteroides distasonis,Biobank,6,5,57,18,1,0
DFI.5.23,Parabacteroides distasonis,Biobank,4,5,56,17,1,0
DFI.6.54,Parabacteroides distasonis,Biobank,4,5,57,15,2,0
MSK.22.22,Parabacteroides distasonis,Biobank,4,5,56,17,1,0
Parabacteroides_distasonis,Parabacteroides distasonis,Type Strain,4,5,57,18,1,0
DFI.3.86,Parabacteroides johnsonii,Biobank,2,8,58,15,6,1
Parabacteroides_johnsonii,Parabacteroides johnsonii,Type Strain,2,8,54,13,4,1
DFI.1.92,Parabacteroides merdae,Biobank,2,8,58,18,7,0
DFI.4.73,Parabacteroides merdae,Biobank,2,8,57,16,7,0
MSK.9.14,Parabacteroides merdae,Biobank,2,8,59,18,7,0
Parabacteroides_merdae,Parabacteroides merdae,Type Strain,2,8,55,17,7,0
MSK.16.37,Phocaeicola coprocola,Biobank,2,9,58,13,4,0
Phocaeicola_coprocola,Phocaeicola coprocola,Type Strain,4,9,60,13,4,0
DFI.4.132,Phocaeicola dorei,Biobank,2,10,79,20,10,0
DFI.5.24,Phocaeicola dorei,Biobank,2,10,78,20,10,0
DFI.7.53,Phocaeicola dorei,Biobank,2,10,82,19,10,0
MSK.19.36,Phocaeicola dorei,Biobank,2,10,79,19,9,0
Phocaeicola_dorei,Phocaeicola dorei,Type Strain,2,10,80,20,9,0
MSK.20.40,Phocaeicola massiliensis,Biobank,4,5,46,23,4,0
Phocaeicola_massiliensis,Phocaeicola massiliensis,Type Strain,3,6,46,20,3,0
DFI.1.83,Phocaeicola vulgatus,Biobank,2,9,67,21,9,0
DFI.3.23,Phocaeicola vulgatus,Biobank,2,9,68,21,9,0
DFI.3.65,Phocaeicola vulgatus,Biobank,2,9,73,21,9,0
DFI.3.92,Phocaeicola vulgatus,Biobank,2,10,78,19,10,0
DFI.4.135,Phocaeicola vulgatus,Biobank,2,10,77,20,8,0
DFI.5.25,Phocaeicola vulgatus,Biobank,2,9,78,20,10,0
DFI.6.58,Phocaeicola vulgatus,Biobank,2,10,78,22,11,0
DFI.6.64,Phocaeicola vulgatus,Biobank,2,9,73,19,10,0
DFI.9.54,Phocaeicola vulgatus,Biobank,2,10,70,19,12,0
DFI.9.71,Phocaeicola vulgatus,Biobank,2,9,78,20,10,0
MSK.10.8,Phocaeicola vulgatus,Biobank,2,10,77,20,9,0
MSK.15.52,Phocaeicola vulgatus,Biobank,2,10,69,19,10,0
MSK.16.84,Phocaeicola vulgatus,Biobank,2,10,73,20,10,0
MSK.17.65,Phocaeicola vulgatus,Biobank,2,9,76,20,9,0
MSK.17.73,Phocaeicola vulgatus,Biobank,2,9,69,19,11,0
MSK.19.45,Phocaeicola vulgatus,Biobank,2,10,76,20,10,0
MSK.19.56,Phocaeicola vulgatus,Biobank,2,10,76,17,10,0
MSK.20.28,Phocaeicola vulgatus,Biobank,2,9,78,20,10,0
MSK.23.53,Phocaeicola vulgatus,Biobank,2,9,69,19,8,0
MSK.6.33,Phocaeicola vulgatus,Biobank,2,9,77,19,10,0
MSK.7.15,Phocaeicola vulgatus,Biobank,2,10,76,20,9,0
MSK.9.20,Phocaeicola vulgatus,Biobank,2,9,68,20,9,0
MSK.9.7,Phocaeicola vulgatus,Biobank,2,9,77,19,11,0
Phocaeicola_vulgatus,Phocaeicola vulgatus,Type Strain,2,10,78,19,10,0
MSK.21.64,Segatella brasiliensis,Biobank,0,9,68,13,7,0
Segatella_brasiliensis,Segatella brasiliensis,Type Strain,0,9,67,15,6,0
MSK.21.56,Segatella brusvicensis,Biobank,2,7,40,14,7,0
Segatella_brunsvicensis,Segatella brusvicensis,Type Strain,1,8,32,14,4,0
MSK.10.30,Segatella copri,Biobank,1,8,61,19,3,0
MSK.21.28,Segatella copri,Biobank,2,8,56,15,3,0
MSK.21.61,Segatella copri,Biobank,3,8,58,16,4,0
MSK.21.66,Segatella copri,Biobank,1,8,63,14,5,0
MSK.21.95,Segatella copri,Biobank,1,8,66,14,6,0
Prevotella_copri,Segatella copri,Type Strain,1,8,46,14,3,0
MSK.21.44,Segatella sinica,Biobank,2,7,63,16,7,0
Segatella_sinica,Segatella sinica,Type Strain,2,7,63,16,7,0
