msk_id,genome,phylum,class,order,family,genus,species,strain,bp,GC,fn,type,label
Phocaeicola_coprocola,Phocaeicola coprocola DSM17136,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola coprocola,DSM17136,4300117,41.8,Phocaeicola_coprocola_DSM17136,Type Strain,DSM17136
Phocaeicola_dorei,Phocaeicola dorei DSM17855,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola dorei,DSM17855,5625488,42.1,Phocaeicola_dorei_DSM17855,Type Strain,DSM17855
Phocaeicola_massiliensis,Phocaeicola massiliensis B84634,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola massiliensis,B84634,4646209,41.9,Phocaeicola_massiliensis_B84634,Type Strain,B84634
Phocaeicola_vulgatus,Phocaeicola vulgatus ATCC8482,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola vulgatus,ATCC8482,5163189,42.2,Phocaeicola_vulgatus_ATCC8482,Type Strain,ATCC8482
Prevotella_buccalis,Prevotella buccalis ATCC35310,NA,NA,Bacteroidales,Bacteroidaceae,Hoylesella,Hoylesella buccalis,NA,3033961,45.3,Prevotella_buccalis_ATCC35310,Type Strain,NA
Prevotella_copri,Prevotella copri DSM18205,NA,NA,Bacteroidales,Bacteroidaceae,Segatella,Segatella copri,NA,3512473,44.8,Prevotella_copri_DSM18205,Type Strain,NA
Segatella_sinica,Segatella_sinica_HDE06,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Segatella,Segatella sinica,HDE06,4260683,48.9,Segatella_sinica_HDE06,Type Strain,HDE06
Segatella_brunsvicensis,Segatella_brunsvicensis_NI025,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Segatella,Segatella brusvicensis,NI025,3694384,46.17,Segatella_brunsvicensis_NI025,Type Strain,NI025
Segatella_brasiliensis,Segatella_brasiliensis_HDD05,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Segatella,Segatella brasiliensis,HDD05,3991856,45.6,Segatella_brasiliensis_HDD05,Type Strain,HDD05
Prevotella_stercorea,Prevotella stercorea DSM18206,NA,NA,Bacteroidales,Bacteroidaceae,Leyella,Leyella stercorea,NA,3097322,44.88,Prevotella_stercorea_DSM18206,Type Strain,NA
DFI.2.31,Alistipes_finegoldii_DFI.2.31,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes finegoldii,DFI_2_31,3543707,57,NA,Biobank,DFI.2.31
DFI.2.11,Alistipes_onderdonkii_DFI.2.11,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes onderdonkii,DFI_2_11,3753254,58,NA,Biobank,DFI.2.11
DFI.6.89,Alistipes_putredinis_DFI.6.89,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes putredinis,DFI_6_89,2769186,53.5,NA,Biobank,DFI.6.89
DFI.3.21,Bacteroides_caccae_DFI.3.21,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides caccae,DFI_3_21,5499091,42.5,NA,Biobank,DFI.3.21
MSK.18.73,Bacteroides_caccae_MSK.18.73,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides caccae,MSK_18_73,5390815,42.5,NA,Biobank,MSK.18.73
DFI.1.153,Bacteroides_cellulosilyticus_DFI.1.153,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides cellulosilyticus,DFI_1_153,7174268,43,NA,Biobank,DFI.1.153
MSK.18.67,Bacteroides_cellulosilyticus_MSK.18.67,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides cellulosilyticus,MSK_18_67,6932134,43.5,NA,Biobank,MSK.18.67
DFI.5.6,Bacteroides_eggerthii_DFI.5.6,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides eggerthii,DFI_5_6,4684885,45,NA,Biobank,DFI.5.6
MSK.16.27,Bacteroides_eggerthii_MSK.16.27,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides eggerthii,MSK_16_27,3772604,44.5,NA,Biobank,MSK.16.27
DFI.5.35,Bacteroides_fragilis_DFI.5.35,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides fragilis,DFI_5_35,5864163,43.5,NA,Biobank,DFI.5.35
DFI.6.90,Bacteroides_fragilis_DFI.6.90,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides fragilis,DFI_6_90,5369603,43.5,NA,Biobank,DFI.6.90
MSK.16.53,Bacteroides_fragilis_MSK.16.53,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides fragilis,MSK_16_53,5193175,43.5,NA,Biobank,MSK.16.53
MSK.22.78,Bacteroides_fragilis_MSK.22.78,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides fragilis,MSK_22_78,5433156,43.5,NA,Biobank,MSK.22.78
MSK.7.6,Bacteroides_fragilis_MSK.7.6,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides fragilis,MSK_7_6,5466060,43.5,NA,Biobank,MSK.7.6
DFI.6.36,Bacteroides_intestinalis_DFI.6.36,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides intestinalis,DFI_6_36,6104941,42.5,NA,Biobank,DFI.6.36
DFI.4.65,Bacteroides_salyersiae_DFI.4.65,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides salyersiae,DFI_4_65,5765403,42,NA,Biobank,DFI.4.65
MSK.18.83,Bacteroides_ovatus_MSK.18.83,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides ovatus,MSK_18_83,7169981,42,NA,Biobank,MSK.18.83
MSK.20.12,Bacteroides_xylanisolvens_MSK.20.12,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides xylanisolvens,MSK_20_12,6129424,42,NA,Biobank,MSK.20.12
MSK.20.82,Bacteroides_thetaiotaomicron_MSK.20.82,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides thetaiotaomicron,MSK_20_82,6877329,43,NA,Biobank,MSK.20.82
MSK.18.9,Bacteroides_stercoris_MSK.18.9,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides stercoris,MSK_18_9,3658602,46,NA,Biobank,MSK.18.9
MSK.20.72,Bacteroides_stercoris_MSK.20.72,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides stercoris,MSK_20_72,3706261,46,NA,Biobank,MSK.20.72
DFI.1.148,Bacteroides_thetaiotaomicron_DFI.1.148,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides thetaiotaomicron,DFI_1_148,6889710,43,NA,Biobank,DFI.1.148
DFI.2.13,Bacteroides_thetaiotaomicron_DFI.2.13,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides thetaiotaomicron,DFI_2_13,5840348,43,NA,Biobank,DFI.2.13
DFI.2.27,Bacteroides_thetaiotaomicron_DFI.2.27,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides thetaiotaomicron,DFI_2_27,6869261,43,NA,Biobank,DFI.2.27
DFI.3.6,Bacteroides_thetaiotaomicron_DFI.3.6,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides thetaiotaomicron,DFI_3_6,6545977,43,NA,Biobank,DFI.3.6
DFI.3.60B,Bacteroides_thetaiotaomicron_DFI.3.60B,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides thetaiotaomicron,DFI_3_60B,6280090,42.5,NA,Biobank,DFI.3.60B
DFI.4.151,Bacteroides_thetaiotaomicron_DFI.4.151,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides thetaiotaomicron,DFI_4_151,6369263,43,NA,Biobank,DFI.4.151
DFI.6.98,Bacteroides_thetaiotaomicron_DFI.6.98,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides thetaiotaomicron,DFI_6_98,6755231,43,NA,Biobank,DFI.6.98
MSK.14.51,Bacteroides_thetaiotaomicron_MSK.14.51,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides thetaiotaomicron,MSK_14_51,6558392,42.5,NA,Biobank,MSK.14.51
MSK.16.60,Bacteroides_thetaiotaomicron_MSK.16.60,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides thetaiotaomicron,MSK_16_60,6539059,43,NA,Biobank,MSK.16.60
MSK.23.45,Bacteroides_thetaiotaomicron_MSK.23.45,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides thetaiotaomicron,MSK_23_45,6269851,43,NA,Biobank,MSK.23.45
DFI.1.121,Bacteroides_uniformis_DFI.1.121,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides uniformis,DFI_1_121,5192255,46,NA,Biobank,DFI.1.121
DFI.4.120,Bacteroides_uniformis_DFI.4.120,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides uniformis,DFI_4_120,5101239,46.5,NA,Biobank,DFI.4.120
DFI.5.36,Bacteroides_uniformis_DFI.5.36,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides uniformis,DFI_5_36,5101285,46,NA,Biobank,DFI.5.36
DFI.6.25,Bacteroides_uniformis_DFI.6.25,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides uniformis,DFI_6_25,4849867,46,NA,Biobank,DFI.6.25
DFI.6.83,Bacteroides_uniformis_DFI.6.83,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides uniformis,DFI_6_83,5181874,46.5,NA,Biobank,DFI.6.83
MSK.16.31,Bacteroides_uniformis_MSK.16.31,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides uniformis,MSK_16_31,4188401,46.5,NA,Biobank,MSK.16.31
MSK.18.89,Bacteroides_uniformis_MSK.18.89,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides uniformis,MSK_18_89,4668867,46.5,NA,Biobank,MSK.18.89
MSK.19.63,Bacteroides_uniformis_MSK.19.63,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides uniformis,MSK_19_63,4791633,46.5,NA,Biobank,MSK.19.63
MSK.20.30,Bacteroides_uniformis_MSK.20.30,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides uniformis,MSK_20_30,4925684,46.5,NA,Biobank,MSK.20.30
MSK.20.32,Bacteroides_uniformis_MSK.20.32,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides uniformis,MSK_20_32,4847425,46.5,NA,Biobank,MSK.20.32
DFI.6.13,Bacteroides_xylanisolvens_DFI.6.13,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides xylanisolvens,DFI_6_13,6804044,42,NA,Biobank,DFI.6.13
MSK.16.13,Bacteroides_ovatus_MSK.16.13,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides ovatus,MSK_16_13,6900126,42.5,NA,Biobank,MSK.16.13
DFI.1.156,Odoribacter_splanchnicus_DFI.1.156,Bacteroidota,Bacteroidia,Bacteroidales,Marinifilaceae,Odoribacter,Odoribacter splanchnicus,DFI_1_156,4952372,43.5,NA,Biobank,DFI.1.156
DFI.3.53,Odoribacter_splanchnicus_DFI.3.53,Bacteroidota,Bacteroidia,Bacteroidales,Marinifilaceae,Odoribacter,Odoribacter splanchnicus,DFI_3_53,4715143,43.5,NA,Biobank,DFI.3.53
DFI.1.37,Parabacteroides_distasonis_DFI.1.37,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Parabacteroides distasonis,DFI_1_37,5303844,45,NA,Biobank,DFI.1.37
DFI.2.1,Parabacteroides_distasonis_DFI.2.1,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Parabacteroides distasonis,DFI_2_1,5295199,45,NA,Biobank,DFI.2.1
DFI.3.8,Parabacteroides_distasonis_DFI.3.8,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Parabacteroides distasonis,DFI_3_8,5224523,45,NA,Biobank,DFI.3.8
DFI.5.23,Parabacteroides_distasonis_DFI.5.23,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Parabacteroides distasonis,DFI_5_23,5475312,44.5,NA,Biobank,DFI.5.23
DFI.1.92,Parabacteroides_merdae_DFI.1.92,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Parabacteroides merdae,DFI_1_92,5367630,45.5,NA,Biobank,DFI.1.92
DFI.4.73,Parabacteroides_merdae_DFI.4.73,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Parabacteroides merdae,DFI_4_73,4743520,45.5,NA,Biobank,DFI.4.73
MSK.16.37,Phocaeicola_coprocola_MSK.16.37,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola coprocola,MSK_16_37,4281931,42,NA,Biobank,MSK.16.37
DFI.4.132,Phocaeicola_dorei_DFI.4.132,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola dorei,DFI_4_132,5456406,42,NA,Biobank,DFI.4.132
DFI.7.53,Phocaeicola_dorei_DFI.7.53,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola dorei,DFI_7_53,5775252,42,NA,Biobank,DFI.7.53
MSK.19.36,Phocaeicola_dorei_MSK.19.36,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola dorei,MSK_19_36,5403974,42,NA,Biobank,MSK.19.36
DFI.1.83,Phocaeicola_vulgatus_DFI.1.83,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola vulgatus,DFI_1_83,5448182,42,NA,Biobank,DFI.1.83
DFI.3.92,Phocaeicola_vulgatus_DFI.3.92,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola vulgatus,DFI_3_92,5799800,42.5,NA,Biobank,DFI.3.92
DFI.3.23,Phocaeicola_vulgatus_DFI.3.23,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola vulgatus,DFI_3_23,5297866,42,NA,Biobank,DFI.3.23
DFI.3.65,Phocaeicola_vulgatus_DFI.3.65,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola vulgatus,DFI_3_65,5050766,42,NA,Biobank,DFI.3.65
DFI.4.135,Phocaeicola_vulgatus_DFI.4.135,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola vulgatus,DFI_4_135,5288390,42.5,NA,Biobank,DFI.4.135
DFI.6.64,Phocaeicola_vulgatus_DFI.6.64,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola vulgatus,DFI_6_64,5209822,42.5,NA,Biobank,DFI.6.64
DFI.6.58,Phocaeicola_vulgatus_DFI.6.58,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola vulgatus,DFI_6_58,5316648,42,NA,Biobank,DFI.6.58
DFI.9.54,Phocaeicola_vulgatus_DFI.9.54,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola vulgatus,DFI_9_54,5184342,42,NA,Biobank,DFI.9.54
DFI.9.71,Phocaeicola_vulgatus_DFI.9.71,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola vulgatus,DFI_9_71,5136394,42.5,NA,Biobank,DFI.9.71
MSK.15.52,Phocaeicola_vulgatus_MSK.15.52,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola vulgatus,MSK_15_52,4990890,42,NA,Biobank,MSK.15.52
MSK.16.84,Phocaeicola_vulgatus_MSK.16.84,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola vulgatus,MSK_16_84,5001267,42.5,NA,Biobank,MSK.16.84
MSK.17.65,Phocaeicola_vulgatus_MSK.17.65,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola vulgatus,MSK_17_65,5245881,42,NA,Biobank,MSK.17.65
MSK.17.73,Phocaeicola_vulgatus_MSK.17.73,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola vulgatus,MSK_17_73,5582650,42.5,NA,Biobank,MSK.17.73
MSK.19.56,Phocaeicola_vulgatus_MSK.19.56,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola vulgatus,MSK_19_56,4568200,42.5,NA,Biobank,MSK.19.56
MSK.19.45,Phocaeicola_vulgatus_MSK.19.45,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola vulgatus,MSK_19_45,5249006,42.5,NA,Biobank,MSK.19.45
MSK.20.28,Phocaeicola_vulgatus_MSK.20.28,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola vulgatus,MSK_20_28,5544466,42.5,NA,Biobank,MSK.20.28
MSK.23.53,Phocaeicola_vulgatus_MSK.23.53,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola vulgatus,MSK_23_53,4624284,42,NA,Biobank,MSK.23.53
MSK.7.15,Phocaeicola_vulgatus_MSK.7.15,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola vulgatus,MSK_7_15,5500183,42.5,NA,Biobank,MSK.7.15
MSK.9.20,Phocaeicola_vulgatus_MSK.9.20,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola vulgatus,MSK_9_20,5335520,42.5,NA,Biobank,MSK.9.20
MSK.9.7,Phocaeicola_vulgatus_MSK.9.7,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola vulgatus,MSK_9_7,5354974,42.5,NA,Biobank,MSK.9.7
MSK.21.23,Leyella_stercorea_MSK.21.23,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Leyella,Leyella stercorea,MSK_21_23,3287082,49.5,NA,Biobank,MSK.21.23
DFI.6.39,Alistipes_communis_DFI.6.39,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes communis,DFI_6_39,3108539,58.5,NA,Biobank,DFI.6.39
DFI.1.269,Alistipes_finegoldii_DFI.1.269,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes finegoldii,DFI_1_269,3577069,57,NA,Biobank,DFI.1.269
DFI.6.32,Alistipes_finegoldii_DFI.6.32,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes finegoldii,DFI_6_32,3649809,56.5,NA,Biobank,DFI.6.32
DFI.3.140,Alistipes_onderdonkii_DFI.3.140,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes onderdonkii,DFI_3_140,3371000,58,NA,Biobank,DFI.3.140
DFI.5.4,Alistipes_onderdonkii_DFI.5.4,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes onderdonkii,DFI_5_4,3504289,57.5,NA,Biobank,DFI.5.4
DFI.6.22,Alistipes_onderdonkii_DFI.6.22,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes onderdonkii,DFI_6_22,3496945,58,NA,Biobank,DFI.6.22
DFI.9.26,Alistipes_onderdonkii_DFI.9.26,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes onderdonkii,DFI_9_26,4123846,58,NA,Biobank,DFI.9.26
